NewsInEnglish,NewsInTamil,Category,CategoryInTamil
2017/Apr/19482-what-will-happen-if-financial-year-changes-from-april-to-january.txt,ஏப்ரலில் இருந்து ஜனவரிக்கு மாறினால்.... என்ன நடக்கும்?,india, இந்தியா
2018/May/45536-it-s-not-first-time-for-rcb.txt,ஆறாவது முறை அவுட்: பெங்களூருக்குத் தொடரும் சோகம்!,sports, விளையாட்டு
2018/Dec/55232-chennai-people-protest-against-amma-hotel-close.txt,அம்மா உணவகத்தை அகற்ற எதிர்ப்பு : தட்டு ஏந்தி போராடிய மக்கள்,tamilnadu, தமிழ்நாடு
2018/Dec/56177-mk-stalin-inaugurate-dmk-panchayat-council-meeting.txt,திமுக ஊராட்சி சபைக் கூட்டம்: ஸ்டாலின் தொடங்கி வைக்கிறார்..!,tamilnadu, தமிழ்நாடு
2018/Dec/56338-indian-army-rescues-2500-tourists-after-heavy-snowfall-in-sikkim.txt,சிக்கிமில் சிக்கிய 2500 சுற்றுலா பயணிகளை மீட்டது ராணுவம்!,india, இந்தியா
2017/May/20066-actor-rajinikanth-meet-his-fans.txt,ரசிகர்களை சந்திக்கிறார் ரஜினி,cinema, சினிமா
2017/Aug/27126-car-import-case-hc-directs-sushmita-sen-to-appear-in-court.txt,வரி ஏய்ப்பு புகார்: நடிகை சுஷ்மிதா சென் நேரில் ஆஜராக உத்தரவு,cinema, சினிமா
2018/Jun/47200-for-chinas-lonely-children-ipal-robot-is-a-companion.txt,"குழந்தைகளுடன் பேசும், பாடம் நடத்தும் ‘ரோபோட்’",world, உலகம்
2018/Nov/54308-newly-married-tn-couple-found-dead-near-waterfall-in-karnataka-in-caste-killing.txt,‘காதல்’ பட பாணியில் பெண்ணை அழைத்து வந்த குடும்பத்தார் - ஆணவ படுகொலையில் தகவல்,tamilnadu, தமிழ்நாடு
2018/Dec/55010-indians-have-sought-political-asylum-in-us.txt,அமெரிக்காவில் தஞ்சம் கோரும் இந்தியர்கள்,world, உலகம்
2018/Jul/48355-prostitution-by-facebook-two-person-arrested-in-chennai.txt,துணிந்து செயல்பட்ட நடிகை ! அதிரடி நடவடிக்கை எடுத்த போலீஸ்,tamilnadu, தமிழ்நாடு
2018/Jul/49204-first-non-brahmin-appointed-as-hindu-temple-priest-in-tamil-nadu.txt,சத்தமில்லாமல் நியமிக்கப்பட்ட பிராமணரல்லாத முதல் அர்ச்சகர்: ஸ்பெஷல் பேட்டி,tamilnadu, தமிழ்நாடு
2018/Oct/53271-ib-admits-its-officers-were-outside-alok-vermas-home.txt,அலோக் வர்மா வீட்டின் அருகே சுற்றித்திரிந்த அந்த நாலு பேர் யார்?,india, இந்தியா
2018/Jan/39744-actor-kamal-hassan-speech-in-college-functions.txt,எதுவும் பேசக்கூடாது என்பதுதான் ஜனநாயகமா?: கமல்ஹாசன் ஆவேசம்,politics, அரசியல்
2018/Aug/50755-rahul-gandhi-leaves-for-kailash-mansarovar-yatra.txt,கைலாச யாத்திரை புறப்பட்டார் ராகுல் காந்தி,india, இந்தியா
2018/Oct/52311-india-vs-west-indies-1st-test-prithvi-shaw-stars-with-ton-india-stack-364-4-on-day-1.txt,"மே.தீவுகளை மிரட்டிய இளமையும், அனுபவமும் - இந்தியா 364 ரன் குவிப்பு",sports, விளையாட்டு
2018/May/46034-cm-statement-about-seterliter-issue.txt,தூத்துக்குடி போராட்ட நிகழ்வுகள்: பேரவையில் முதல்வர்‌ அறிக்கை,tamilnadu, தமிழ்நாடு
2018/Dec/55183-virat-kohli-tops-forbes-india-rich-list-for-sportspersons-2018.txt,பணக்கார இந்திய விளையாட்டு வீரர் பட்டியலில் கோலி முதலிடம்  ,sports, விளையாட்டு
2017/May/20136-result-anouncement-result-stalin-question.txt,ரிசல்ட் அறிவிப்பில் மட்டும் மாற்றம் போதுமா? ஸ்டாலின் கேள்வி,tamilnadu, தமிழ்நாடு
2018/Nov/53848-kohli-wants-indian-fast-bowlers-to-skip-2019-ipl-and-rest-for-world-cup.txt,"“பும்ரா, புவனேஷ்குமார் 2019 ஐபிஎல்-ஐ தவிர்க்க வேண்டும்” - கோலி கோரிக்கை",sports, விளையாட்டு
2018/Sep/51466-former-trs-mla-involved-in-pranay-s-murder-along-with-my-father-wife-amrutha-alleges.txt,"“என் அப்பாவும், முன்னாள் எம்எல்ஏவும் தான் காரணம்”... போட்டுடைத்த அம்ருதா..!",india, இந்தியா
2018/Aug/50640-velankanni-church-functions-today.txt,வேளாங்கண்ணி பேராலயத்தில் இன்று கொடியேற்றம்,tamilnadu, தமிழ்நாடு
2018/Jul/47855-10-odd-things-about-the-delhi-family-deaths-case.txt,ஒரே வீட்டில் 11 பேர் மரணம்: போலீசாரை குழப்பும் மர்ம தடயங்கள்..!,india, இந்தியா
2018/Feb/40204-india-vs-south-africa-quinton-de-kock-ruled-out-of-ongoing-odi-and-upcoming-t20-series-due-to-wrist-injury.txt,தென்னாப்பிரிக்கா அணிக்கு தொடரும் சிக்கல்,sports, விளையாட்டு
2017/Jan/15772-actor-vivek-comments-hip-hop-tamilzha-speech.txt,ஆதியின் பேச்சு யோசிக்க வைக்கிறது... நடிகர் விவேக் கருத்து,cinema, சினிமா
2018/Nov/54292-cia-concludes-saudi-crown-prince-behind-khashoggi-murder-report.txt,பத்திரிகையாளர் கஷோகியை கொல்ல சவுதி இளவரசர் உத்தரவிட்டாரா?,world, உலகம்
2018/Oct/53513-meet-the-11-year-old-telangana-boy-who-teaches-engineers.txt,இஞ்சினியர்களுக்கு பாடம் நடத்தும் ஏழாம் வகுப்பு மாணவன்,india, இந்தியா
2018/Sep/52066-cabinet-did-not-approve-for-aims-at-madurai.txt,மதுரை தோப்பூரில் எய்ம்ஸ் மருத்துவமனை... இதுவரை ஒப்புதல் இல்லையா..?,tamilnadu, தமிழ்நாடு
2018/Aug/50142-red-alert-to-the-coastal-people-of-cauvery-basin.txt,காவிரி கரையோர மக்களுக்கு ரெட் அலர்ட்,tamilnadu, தமிழ்நாடு
2017/Apr/19398-rajinikanth-2-o-movie-update.txt,ரஜினியின் 2.ஓ ரிலீஸ் தள்ளிப்போனது ஏன்?,cinema, சினிமா
2017/Apr/19345-paris-terrorist-shootout-leaves-police-officer-dead.txt,பாரீசில் பயங்கரவாத தாக்குதல்: போலீஸ் அதிகாரி பலி,world, உலகம்
2018/Dec/55420-india-test-fires-indigenously-developed-5000-km-range-agni-5-missile.txt,5 ஆயிரம் கி.மீ சென்று தாக்கும் அக்னி 5 ஏவுகணை சோதனை வெற்றி,india, இந்தியா
2018/Mar/41999-central-environmental-assessment-committee-has-possibility-of-approval-in-the-neutrino-project-on-tamilnadu.txt,நியூட்ரினோ திட்டம் அமலானால்... மறக்காமல் மரம் வளர்க்கவும்..!,tamilnadu, தமிழ்நாடு
2018/Oct/52959-nia-ends-kerala-probe-says-there-s-love-but-no-jihad.txt,"லவ் மட்டுமே, ஜிகாத் இல்லை - முடிவுக்கு வந்த ஹாதியா வழக்கு",india, இந்தியா
2016/Dec/14683-sri-lanka-claims-world-s-tallest-artificial-christmas-tree.txt,238 அடி உயர கிறிஸ்துமஸ் மரம்!,world, உலகம்
2018/Jul/48490-bravo-s-dinner-with-his-brothers-ms-dhoni-and-hardik-pandya-in-london.txt,’அண்ணன் - தம்பிங்க’: லண்டனில் பிராவோ பன்ச்!,sports, விளையாட்டு
2017/Nov/33838-sea-fury-boats-standing-on-the-shore-without-sea.txt,கடல் சீற்றம்: கடலுக்குள் செல்லாமல் கரையில் நிற்கும் படகுகள்,tamilnadu, தமிழ்நாடு
2018/Jul/48652-kerala-priest-scandal-father-of-church-says-he-did-not-forced-woman-to-be-in-relationship.txt,'எல்லாம் முழு சம்மதத்துடன்தான் நடந்தது' கேரள பாதிரியார் வாக்குமூலம்,india, இந்தியா
2017/Oct/31919-tamilisai-soundrajan-covai-airport-byte.txt,சசிகலாவின் பரோல் விதிகள் சரியாக பின்பற்றப்படுகிறதா?: தமிழிசை கேள்வி,politics, அரசியல்
2018/Nov/54028-the-cake-cutting-moment-of-sarkar-success-meet-celebration.txt,கேக்கில் மிக்ஸியும் கிரைண்டரும் ! சர்கார் வெற்றியை கொண்டாடிய படக்குழு,cinema, சினிமா
2018/Jul/48500-the-tragedy-that-killed-the-child.txt,குழந்தையை குப்பைத் தொட்டியில் போட்டு சாகடித்த சோகம் ,tamilnadu, தமிழ்நாடு
2017/May/19900-a-boy-sex-torture-to-a-girl.txt,வில்லங்கம் தந்த ஃபேஸ்புக் நட்பு: சிறுமிக்கு பாலியல் வன்கொடுமை!,tamilnadu, தமிழ்நாடு
2018/Dec/56169-virudhunagar-pregnant-woman-affected-by-hiv-for-hospital-officials-carelessness.txt,“என்னைக் கொன்றிருக்கலாமே” : கண்ணீருடன் கர்ப்பிணி,tamilnadu, தமிழ்நாடு
2017/Dec/36825-ooty-boat-house-lake-became-sticky-due-to-drainage-water.txt,துர்நாற்றம் வீசும் உதகை படகு இல்லம் ஏரி,tamilnadu, தமிழ்நாடு
2018/Dec/56028-pay-23-million-or-lose-2023-world-cup-icc-to-bcci.txt,'பணத்தை கட்டினாதான் உலகக் கோப்பையை நடத்த முடியும்' பிசிசிஐக்கு ஐசிசி எச்சரிக்கை,sports, விளையாட்டு
2018/Oct/53448-sabarimala-is-for-all-ban-on-non-hindus-will-ruin-secular-fabric-kerala-hc.txt,“சபரிமலை எல்லா மதத்தினருக்கும் சொந்தமானது” - கேரள உயர்நீதிமன்றம்,india, இந்தியா
2017/Mar/17858-11years-pakistani-girl-congratulates-modi-on-up-election-victory.txt,அமைதியை ஏற்படுத்துங்கள்: பிரதமர் மோடிக்கு பாகிஸ்தான் சிறுமி கடிதம்,world, உலகம்
2018/Dec/56218-govt-asks-airports-to-make-public-announcements-in-local-language-too.txt,விமான நிலையங்களில் உள்ளூர் மொழி அறிவிப்பு கட்டாயம்: மத்திய அரசு,india, இந்தியா
2018/Jun/47014-messi-fans-are-on-high-hope-for-today-match-against-iceland.txt,கால்பந்தாட்ட ரசிகர்களுக்கு இன்று மெஸ்ஸியின் தரிசனம் !,sports, விளையாட்டு
2018/Jul/47798-tneb-plans-to-increase-online-payments.txt,ஆன்லைனில் கரண்ட் பில் கட்டினால் சலுகை?,tamilnadu, தமிழ்நாடு
2018/Jul/47850-japan-vs-belgium-world-cup-2018-belgian-brilliance-forges-3-2-comeback-win.txt,முதலில் கெத்து ! கடைசியில் சொதப்பல் ! ஜப்பானின் தோல்வி,sports, விளையாட்டு
2017/Dec/37034-chennai-metro-run-soon-between-saidapet-to-dms.txt,மெட்ரோ ரயில் சுரங்கபாதை அமைக்கும் பணி நிறைவு,tamilnadu, தமிழ்நாடு
2018/Nov/54794-muslim-sisters-meet-sikh-brother-for-first-time-after-71-years.txt,71 வருடங்களுக்கு பிறகு சீக்கிய தம்பியை சந்தித்த இஸ்லாமிய சகோதரிகள்!,india, இந்தியா
2018/May/46043-dharumapuri-farmers-sadness-for-mullanki-rate-decrease.txt,2 ரூபாய்க்கு விற்கும் முள்ளங்கி : விவசாயிகள் வேதனை,tamilnadu, தமிழ்நாடு
2018/Oct/52338-priyanka-and-nick-to-get-married-in-jodhpur-this-november.txt,ஜோத்பூரில் நடிகை பிரியங்கா சோப்ரா-நிக் ஜோனாஸ் திருமணம்!,cinema, சினிமா
2017/Apr/18838-puthiyathalaimurai-taken-off-air-by-state-government-owned-arasu-cable.txt,அரசு கேபிளில் துண்டிக்கப்பட்ட புதியதலைமுறை: கருத்துச் சுதந்திரத்திற்கு எதிரானது என மக்கள் கருத்து,tamilnadu, தமிழ்நாடு
2018/Mar/41726-i-was-axed-for-backing-virat-kohli-in-2008-dilip-vengsarkar.txt,விராத் கோலியை எதிர்த்த தோனி!,sports, விளையாட்டு
2018/Aug/49667-sonia-sent-condolence-to-mk-stalin-on-dmk-chief-karunanidhi.txt,கருணாநிதியின் மறைவு தனிப்பட்ட முறையில் எனக்கு பேரிழப்பு - சோனியா காந்தி,india, இந்தியா
2017/Dec/37880-ttv-dinakaran-leading-in-r-k-nagar-bypoll.txt,இரட்டை இலையை தோற்கடிக்கும் அதிமுக!,tamilnadu, தமிழ்நாடு
2017/Aug/26741-prasoon-joshi-the-new-censor-board-chief.txt,சென்சார் போர்டு தலைவராக பாடலாசிரியர் நியமனம்,cinema, சினிமா
2017/May/19898-bomp-threat-on-kushboo-home.txt,குஷ்பு வீட்டுக்கு குண்டு மிரட்டல்!,tamilnadu, தமிழ்நாடு
2018/Aug/50326-deadly-momo-game-challenge-now-in-south-tamilnadu.txt,மரண விளையாட்டுக்கு அழைக்கும் மோமோ - தென்மாவட்ட இளைஞர்களுக்கு வலைவீச்சு,tamilnadu, தமிழ்நாடு
2018/Nov/54315-1-000-kg-of-suspected-dog-meat-seized-at-egmore-station-in-chennai.txt,நாய்க்கறியா? ஆட்டுக்கறிக்குத்தான் ஆர்டர் கொடுத்தோம் - கறி விற்பனையாளர்கள்,tamilnadu, தமிழ்நாடு
2017/Jan/15157-vishal-problem-does-not-resolve.txt,மன்னிப்பு கேட்டும் தீரவில்லை பிரச்னை,cinema, சினிமா
2017/Nov/36099-ben-stokes-greeted-by-his-mum-and-dad-after-landing-in-new-zealand.txt,சர்ச்சைக்கு முடிவு: பென் ஸ்டோக்ஸ் நியூசிலாந்து சென்றார்,sports, விளையாட்டு
2017/Apr/18722-donald-trump-donates-his-salaries.txt,சம்பளத்தை நன்கொடையாக வழங்கிய ட்ரம்ப்,world, உலகம்
2018/Jan/38556-youth-bike-race-viral-video.txt,சாலைத் தடுப்பை இழுத்து சென்றபடி பைக் ஓட்டும் இளைஞர்கள்: வைரலாகும் வீடியோ,tamilnadu, தமிழ்நாடு
2017/Apr/18928-rambha-in-thirupathi-after-patching-up-with-her-husband.txt,திருப்பதியில் கணவருடன் ரம்பா,cinema, சினிமா
2018/Oct/52222-rs-1997-crore-spent-on-salaries-and-perks-of-mps-in-4-years.txt,"4 ஆண்டுகளில் எம்.பி.க்களுக்கு 1,997 கோடி ஊதியம்",india, இந்தியா
2017/Nov/34808-beware-of-sugar-diabetes-day-for-women-today.txt,சர்க்கரை ஜாக்கிரதை: இன்று உலக நீரிழிவு நோய் தினம்!,tamilnadu, தமிழ்நாடு
2017/Dec/37527-nota-votes-made-a-difference.txt,'நோட்டா'-வில் 6 லட்சம் வாக்குகள்,india, இந்தியா
2017/Sep/30420-vehicles-are-banned-at-30-km-speed.txt,சத்தியமங்கலத்தில் வாகனங்கள் 30 கிமீ வேகத்தை தாண்டத் தடை,tamilnadu, தமிழ்நாடு
2017/Jul/23304-kiren-rijiju-s-chopper-makes-emergency-landing-in-itanagar.txt,வயலில் தரையிறக்கப்பட்ட மத்திய அமைச்சரின் ஹெலிகாப்டர்,india, இந்தியா
2018/Oct/53317-sarkar-film-story-and-sengol-story-are-same-south-indian-film-writers-association-president.txt,"“எவ்வளவோ பேசிபார்த்தோம், முருகதாஸ் பிடிவாதமாகவே இருந்தார்” கே.பாக்கியராஜ்",cinema, சினிமா
2018/Oct/53042-vijay-hazare-trophy-final-delhi-bundled-out-for-177.txt,விஜய் ஹசாரே இறுதிப் போட்டி: 177 ரன்னுக்கு சுருண்டது டெல்லி!,sports, விளையாட்டு
2017/Jan/15258-elephant-calving-a-twin-kids.txt,‌இரட்டைக் குட்டிகளை ஈன்ற யானை...!,tamilnadu, தமிழ்நாடு
2018/Feb/40877-abhiyum-anuvum-movie-release-date-announced.txt,‘அபியும் அனுவும்’ மார்ச் 9 ரிலீஸ்,cinema, சினிமா
2018/Mar/42155-mahmudullah-smashes-a-six-and-bangladesh-are-through-to-the-final.txt,இறுதிப் போட்டிக்கு முன்னேறியது வங்கதேசம்,sports, விளையாட்டு
2018/Mar/41797-nadodigal-2-shooting-at-madurai.txt,மதுரையில் நாடோடிகள் 2 படப்பிடிப்பு !,cinema, சினிமா
2018/Dec/56059-man-returns-rs-59-800-disgorged-by-atm.txt,கேட்பாரற்று கிடந்த ரூ.59ஆயிரம்: காவல்நிலையத்தில் ஒப்படைத்த நபர்,tamilnadu, தமிழ்நாடு
2018/Aug/50742-the-goal-is-to-win-medal-in-the-olympics-sprinter-arokia-rajiv.txt,ஒலிம்பிக்கில் பதக்கம் வெல்வதே லட்சியம் - ஆரோக்கிய ராஜிவ் பேட்டி,sports, விளையாட்டு
2018/Oct/52556-over-1-48-000-people-were-killed-in-road-accidents-in-2017.txt,விபத்துகளால் 1 லட்சத்து 48 ஆயிரம் பேர் உயிரிழப்பு!,india, இந்தியா
2018/Jan/39505-jayalalitha-death-investigation-commission-plans-to-summon-admk-leader-ponnaiyan.txt,‘ஜெ.வுக்கு ஸ்லோ பாய்சனா?’:பொன்னையனுக்கு சம்மன் அனுப்ப நீதிபதி திட்டம்,politics, அரசியல்
2017/Mar/17881-da-hiked-for-central-government-employees.txt,மத்திய அரசு ஊழியர்களுக்கு 2% அகவிலைப்படி உயர்வு,india, இந்தியா
2016/Dec/13761-villagers-arrange-rs-20-000-for-groom-as-atm-ran-dry.txt,ஏடிஎம்-மில் பணம் இல்லை.. புது மாப்பிள்ளைக்காக நிதி திரட்டிய கிராம மக்கள்..!,india, இந்தியா
2017/Mar/17917-bjp-has-used-money-to-win-power-in-manipur-and-goa.txt,மக்கள் தீர்ப்பை திருடிய பாஜக: ராகுல்காந்தி,india, இந்தியா
2018/Jun/47531-watch-man-connect-the-glucose-bottle-for-patient-in-vellore-government-hospital.txt,உயிருக்குப் போராடிய பெண்ணுக்கு மருத்துவமனையில் நேர்ந்த அவலம் : அதிர்ச்சி வீடியோ,tamilnadu, தமிழ்நாடு
2018/Dec/55384-law-for-ram-temple-only-option-those-in-power-must-keep-promise-rss-bhaiyaji-joshi.txt,“சொன்னபடி ராமர் கோயிலை கட்டுங்கள்” பாஜகவுக்கு ஆர்.எஸ்.எஸ் வேண்டுகோள்,india, இந்தியா
2017/Dec/37940-independent-candidate-dhinakaran-wins-history-returned-after-13-years.txt,சுயேச்சையாக தினகரன் வெற்றி: 13 ஆண்டுகளுக்கு பிறகு திரும்பிய வரலாறு,politics, அரசியல்
2018/Nov/54232-electric-supply-resume-with-in-two-days-in-nagapattinam.txt,நாகையில் மின்விநியோகம் சரியாக 2 நாட்கள் ஆகும்: மின்வாரிய அதிகாரிகள்,tamilnadu, தமிழ்நாடு
2018/Dec/56109-panneerselvam-brother-raja-re-joining-to-admk.txt,ஒபிஎஸ் சகோதரர் ராஜா மீண்டும் கட்சியில் சேர்ப்பு - அதிமுக அறிவிப்பு,politics, அரசியல்
2017/Nov/36211-ockhi-storm-all-trains-cancelled-from-kanyakumari.txt,குமரியில் இருந்து புறப்படும் ரயில்கள் ரத்து,tamilnadu, தமிழ்நாடு
2018/Feb/40199-this-is-the-4th-time-nayanthara-playing-female-lead-in-viswasam-with-ajithkumar.txt,தல கூட்டணியில் மீண்டும் இணையும் சூப்பர் ஸ்டார் நடிகை,cinema, சினிமா
2018/Oct/52697-damaged-air-india-plane-flew-for-3-hours.txt,சுற்றுச்சுவரை இடித்துவிட்டு ஆபத்தான நிலையில் 3 மணி நேரம் பறந்த விமானம்!,tamilnadu, தமிழ்நாடு
2018/Apr/43792-lessons-from-bhagwad-gita-added-to-rajasthan-civil-services-curriculum.txt,ராஜஸ்தான் சிவில் சர்வீஸ் பாடத் திட்டத்தில் பகவத் கீதை சேர்ப்பு,india, இந்தியா
